post_link,date,views,post_time,bank,time_of_day
https://t.me/tikvahethiopia/70382,2022-05-19T13:47:14+00:00,310300,13:47:14,#CBE,afternoon
https://t.me/tikvahethiopia/70383,2022-05-19T13:47:14+00:00,310300,13:47:14,#CBE,afternoon
https://t.me/tikvahethiopia/73378,2022-08-30T11:13:05+00:00,267400,11:13:05,#CBE,morning
https://t.me/tikvahethiopia/73379,2022-08-30T11:13:05+00:00,267400,11:13:05,#CBE,morning
https://t.me/tikvahethiopia/74556,2022-11-03T16:07:35+00:00,347100,16:07:35,#CBE,afternoon
https://t.me/tikvahethiopia/75184,2022-12-17T18:49:22+00:00,341300,18:49:22,#GlobalBankEthiopia,evening
https://t.me/tikvahethiopia/75185,2022-12-17T18:49:22+00:00,341300,18:49:22,#GlobalBankEthiopia,evening
https://t.me/tikvahethiopia/75228,2022-12-19T18:24:23+00:00,332100,18:24:23,#CBE,evening
https://t.me/tikvahethiopia/75229,2022-12-19T18:24:23+00:00,332100,18:24:23,#CBE,evening
https://t.me/tikvahethiopia/77346,2023-03-27T15:01:59+00:00,239000,15:01:59,#AwashBank,afternoon
https://t.me/tikvahethiopia/77351,2023-03-28T07:02:31+00:00,240900,7:02:31,#AwashBank,morning
https://t.me/tikvahethiopia/77993,2023-04-23T17:18:19+00:00,279500,17:18:19,#CBE,afternoon
https://t.me/tikvahethiopia/77994,2023-04-23T17:18:19+00:00,279500,17:18:19,#CBE,afternoon
https://t.me/tikvahethiopia/78269,2023-05-07T09:38:31+00:00,304000,9:38:31,#CBE,morning
https://t.me/tikvahethiopia/78293,2023-05-08T17:20:54+00:00,266200,17:20:54,#CBE,afternoon
https://t.me/tikvahethiopia/78294,2023-05-08T17:20:54+00:00,266200,17:20:54,#CBE,afternoon
https://t.me/tikvahethiopia/78295,2023-05-08T17:20:54+00:00,266200,17:20:54,#CBE,afternoon
https://t.me/tikvahethiopia/78346,2023-05-11T13:53:03+00:00,229200,13:53:03,#CBE,afternoon
https://t.me/tikvahethiopia/78531,2023-05-18T05:11:27+00:00,291600,5:11:27,#CBE,morning
https://t.me/tikvahethiopia/79336,2023-06-27T18:24:51+00:00,306000,18:24:51,#CBE,evening
https://t.me/tikvahethiopia/79337,2023-06-27T18:24:51+00:00,306000,18:24:51,#CBE,evening
https://t.me/tikvahethiopia/79338,2023-06-27T18:24:51+00:00,306000,18:24:51,#CBE,evening
https://t.me/tikvahethiopia/79362,2023-06-29T18:06:36+00:00,259700,18:06:36,#CBE,evening
https://t.me/tikvahethiopia/79363,2023-06-29T18:06:36+00:00,259700,18:06:36,#CBE,evening
https://t.me/tikvahethiopia/79364,2023-06-29T18:06:36+00:00,259700,18:06:36,#CBE,evening
https://t.me/tikvahethiopia/79932,2023-07-20T12:18:53+00:00,269100,12:18:53,#CBE,afternoon
https://t.me/tikvahethiopia/80023,2023-07-23T15:44:34+00:00,278200,15:44:34,#CBE,afternoon
https://t.me/tikvahethiopia/80046,2023-07-24T08:20:07+00:00,259000,8:20:07,#AwashBank,morning
https://t.me/tikvahethiopia/80091,2023-07-25T20:08:42+00:00,268900,20:08:42,#AwashBank,evening
https://t.me/tikvahethiopia/80120,2023-07-27T12:17:19+00:00,272700,12:17:19,#CBE,afternoon
https://t.me/tikvahethiopia/80160,2023-07-30T11:43:04+00:00,284600,11:43:04,#CBE,morning
https://t.me/tikvahethiopia/80346,2023-08-06T14:35:47+00:00,293600,14:35:47,#CBE,afternoon
https://t.me/tikvahethiopia/80451,2023-08-10T17:40:28+00:00,210000,17:40:28,#CBE,afternoon
https://t.me/tikvahethiopia/80525,2023-08-13T10:02:53+00:00,221700,10:02:53,#CBE,morning
https://t.me/tikvahethiopia/80610,2023-08-17T16:33:45+00:00,241700,16:33:45,#CBE,afternoon
https://t.me/tikvahethiopia/80733,2023-08-20T16:27:39+00:00,214600,16:27:39,#CBE,afternoon
https://t.me/tikvahethiopia/81056,2023-08-27T18:10:48+00:00,248700,18:10:48,#CBE,evening
https://t.me/tikvahethiopia/81157,2023-08-31T17:49:22+00:00,228400,17:49:22,#CBE,afternoon
https://t.me/tikvahethiopia/81218,2023-09-03T19:21:34+00:00,251700,19:21:34,#CBE,evening
https://t.me/tikvahethiopia/81312,2023-09-07T09:08:16+00:00,207700,9:08:16,#CBE,morning
https://t.me/tikvahethiopia/81393,2023-09-10T11:13:27+00:00,246600,11:13:27,#CBE,morning
https://t.me/tikvahethiopia/81488,2023-09-14T12:33:25+00:00,275600,12:33:25,#CBE,afternoon
https://t.me/tikvahethiopia/81545,2023-09-17T13:09:51+00:00,273100,13:09:51,#CBE,afternoon
